,,OPCODE,isMOD,modSWAP,isDouble,OPCext,aluk,MUX_ADDER_IMM,MUX_AND_INT,MUX_SHIFT,P_OP,FMASK,conditionals,swapEIP,isBR,isFP,isImm,immSize,size,R1,R2,R3,R4,S1,S2,S3,S4,op1_mux,op2_mux,op3_mux,op4_mux,dest1_mux,dest2_mux,dest3_mux,dest4_mux,op1_wb,op2_wb,op3_wb,op4_wb,R1_MOD_OVR,M1_RW,M2_RW,OP_MOD_OVR,S3_MOD_OVR,memSizeOVR,is_EXT,MOD_EXT
﻿0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
04 ib,"ADD AL, imm8",8'h04,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
05 id,"ADD EAX, imm32",8'h05,1'b0,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
80 /0 ib ?,"ADD r/m8, imm8",8'h80,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
81 /0 id ?,"ADD r/m32, imm32",8'h81,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
83 /0 ib ?,"ADD r/m32, imm8",8'h83,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd0
00 /r,"ADD r/m8, r8",8'h00,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
01 /r,"ADD r/m32, r32",8'h01,1'b1,1'b0,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b11,2'b00,2'b01,1'b0,1'b0,3'd0,3'd0
02 /r,"ADD r8, r/m8",8'h02,1'b1,1'b1,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
03 /r,"ADD r32, r/m32",8'h03,1'b1,1'b1,1'b0,8'h00,5'b00001,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0001,18'b000000000_1_0_00_1_1_1_1_1,2'b00,1'b0,1'b0,1'b0,1'b0,2'b00,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h0100,13'h0001,13'h0001,13'h0001,13'h0100,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b1,2'b10,2'b00,2'b10,1'b0,1'b0,3'd0,3'd0
24 ib,"AND AL, imm8",8'h24,1'b0,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
25 id,"AND EAX, imm32",8'h25,1'b0,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0001,13'h1000,13'h0001,13'h0001,13'h0001,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b00,2'b00,2'b00,1'b0,1'b0,3'd0,3'd0
80 /4 ib ?,"AND r/m8, imm8",8'h80,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b00,2'b00,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
81 /4 id ?,"AND r/m32, imm32",8'h81,1'b1,1'b0,1'b0,8'h00,5'b00000,3'b000,1'b0,1'b0,37'b0_0000_0000_0000_0000_0000_0000_0000_0000_0010,18'b000000000_1_0_00_1_1_0_1_1,2'b00,1'b0,1'b0,1'b0,1'b1,2'b10,2'b10,3'b000,3'b000,3'b100,3'b000,3'b001,3'b000,3'b000,3'b000,13'h0100,13'h1000,13'h0001,13'h0001,13'h0100,13'h1000,13'h0001,13'h0001,1'b1,1'b0,1'b0,1'b0,1'b0,2'b11,2'b00,2'b01,1'b0,1'b0,1'b1,3'd4
